ESTACIO,CODI_CONTAMINANT,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,DATA
4,10,10.0,8.0,9.0,3.0,5.0,9.0,10.0,12.0,33.0,36.0,35.0,35.0,56.0,38.0,35.0,37.0,26.0,43.0,41.0,31.0,19.0,19.0,18.0,18.0,2019-04-26
4,10,18.0,22.0,21.0,17.0,16.0,15.0,12.0,15.0,20.0,40.0,34.0,29.0,33.0,33.0,36.0,29.0,26.0,23.0,23.0,28.0,20.0,19.0,17.0,16.0,2019-04-27
4,10,16.0,15.0,16.0,22.0,26.0,22.0,21.0,20.0,37.0,46.0,37.0,17.0,26.0,27.0,36.0,33.0,20.0,19.0,39.0,51.0,48.0,20.0,28.0,31.0,2019-04-28
4,10,27.0,23.0,22.0,21.0,22.0,24.0,24.0,56.0,44.0,46.0,45.0,49.0,51.0,39.0,44.0,45.0,48.0,111.0,105.0,53.0,34.0,31.0,25.0,19.0,2019-04-29
4,10,14.0,14.0,27.0,16.0,14.0,14.0,17.0,22.0,24.0,31.0,36.0,30.0,32.0,35.0,32.0,37.0,95.0,98.0,91.0,60.0,37.0,34.0,27.0,25.0,2019-04-30
4,12,22.0,38.0,79.0,59.0,46.0,59.0,97.0,169.0,296.0,334.0,129.0,90.0,79.0,62.0,10.0,32.0,54.0,52.0,58.0,83.0,49.0,23.0,13.0,9.0,2019-04-02
4,12,6.0,10.0,7.0,5.0,7.0,10.0,22.0,37.0,56.0,47.0,35.0,47.0,44.0,44.0,36.0,29.0,48.0,42.0,36.0,34.0,29.0,30.0,39.0,43.0,2019-04-03
4,12,5.0,5.0,7.0,14.0,12.0,18.0,20.0,40.0,60.0,67.0,54.0,42.0,29.0,43.0,41.0,31.0,28.0,26.0,31.0,30.0,25.0,28.0,63.0,68.0,2019-04-04
4,12,69.0,58.0,78.0,59.0,57.0,68.0,94.0,152.0,198.0,199.0,197.0,122.0,82.0,33.0,26.0,30.0,31.0,40.0,34.0,30.0,20.0,21.0,16.0,17.0,2019-04-05
4,12,29.0,25.0,25.0,21.0,13.0,12.0,15.0,23.0,29.0,35.0,29.0,27.0,20.0,26.0,19.0,20.0,34.0,36.0,32.0,37.0,36.0,46.0,62.0,78.0,2019-04-06
